ID;Jugador;Equipo;Posicion
sedlar;Aleksandar Sedlar;Deportivo Alaves;Defensas
aespino;Alfonso Espino;Rayo Vallecano;Defensas
apedraza;Alfonso Pedraza;Villarreal CF;Defensas
nyom;Allan Nyom;Getafe CF;Defensas
gorosabel;Andoni Gorosabel;Athletic Club;Defensas
andreaschristensen;Andreas Christensen;FC Barcelona;Defensas
andrei;Andrei Ratiu;Rayo Vallecano;Defensas
andrescuenca;Andres Cuenca;FC Barcelona;Defensas
andypelmard;Andy Pelmard;UD Las Palmas;Defensas
antalyaakobishvili;Antal Yaakobishvili;Girona FC;Defensas
antoniocandela;Antonio Candela;Real Valladolid CF;Defensas
antonioespigares;Antonio Espigares;Villarreal CF;Defensas
araillo;Antonio Raillo;RCD Mallorca;Defensas
antoniorudiger;Antonio Rudiger;Real Madrid;Defensas
aridane1;Aridane Hernandez;Rayo Vallecano;Defensas
arambarri1;Aritz Arambarri;SD Eibar;Defensas
aritz;Aritz Elustondo;Real Sociedad;Defensas
arnau1;Arnau Martinez;Girona FC;Defensas
arnausola;Arnau Sola;Villarreal CF;Defensas
axelwitsel;Axel Witsel;Atletico de Madrid;Defensas
bornabarisic;Borna Barisic;CD Leganes;Defensas
bolivan;Brian Olivan;RCD Espanyol de Barcelona;Defensas
carlstarfelt;Carl Starfelt;RC Celta;Defensas
cdominguez;Carlos Dominguez;RC Celta;Defensas
carlosromero;Carlos Romero;RCD Espanyol de Barcelona;Defensas
catala;Jose Luis Catala Vazquez;RCD Espanyol de Barcelona;Defensas
cenkozkacar;Cenk Ozkacar;Real Valladolid CF;Defensas
lenglet;Clement Lenglet;Atletico de Madrid;Defensas
copete;Jose Manuel Arias Copete;RCD Mallorca;Defensas
cristhianmosquera;Cristhian Mosquera;Valencia CF;Defensas
cesarazpilicueta;Cesar Azpilicueta;Atletico de Madrid;Defensas
cesartarrega;Cesar Tarrega;Valencia CF;Defensas
daleyblind;Daley Blind;Girona FC;Defensas
daleysinkgraven;Daley Sinkgraven;Sin equipo;Defensas
carvajal;Dani Carvajal;Real Madrid;Defensas
vivian;Dani Vivian;Athletic Club;Defensas
dariobenavides;Dario Benavides;Sevilla FC;Defensas
davidalaba;David Alaba;Real Madrid;Defensas
david2;David Arguelles;Getafe CF;Defensas
davidjimenez1;David Jimenez;Real Madrid;Defensas
davidlopez;David Lopez;Girona FC;Defensas
davidlopez4;David Lopez;RCD Mallorca;Defensas
davidtorres1;David Torres;Real Valladolid CF;Defensas
diegoaguado;Diego Aguado;Real Madrid;Defensas
diegohormigo;Diego Hormigo;Sevilla FC;Defensas
llorenter;Diego Llorente;Real Betis;Defensas
rico;Diego Rico;Getafe CF;Defensas
foulquier;Dimitri Foulquier;Valencia CF;Defensas
djene;Djene Dakonam;Getafe CF;Defensas
domingosd;Domingos de Sousa Coutinho Meneses Duarte;Getafe CF;Defensas
egoitzmunoz;Egoitz Munoz;Deportivo Alaves;Defensas
enekoortiz;Eneko Ortiz;Deportivo Alaves;Defensas
franquesa;Enric Franquesa;CD Leganes;Defensas
boyomo;Enzo Boyomo;CA Osasuna;Defensas
erayervincumart;Eray Comert;Real Valladolid CF;Defensas
ericbailly;Eric Bailly;Villarreal CF;Defensas
ericgarcia;Eric Garcia;FC Barcelona;Defensas
facundogarces;Facundo Garces;Deportivo Alaves;Defensas
fmendy;Ferland Mendy;Real Madrid;Defensas
calero;Fernando Calero;RCD Espanyol de Barcelona;Defensas
ferranruiz;Ferran Ruiz Marti;Girona FC;Defensas
lejeune;Florian Lejeune;Rayo Vallecano;Defensas
frangarcia1;Fran Garcia;Real Madrid;Defensas
gerard2;Gerard Martin;FC Barcelona;Defensas
geronimospina;Geronimo Spina;Atletico de Madrid;Defensas
gonzalomontiel;Gonzalo Montiel;Sin equipo;Defensas
gorkarivera;Gorka Rivera;Getafe CF;Defensas
guillemtrilla;Guillem Trilla;Sin equipo;Defensas
hamaritraore;Hamari Traore;Real Sociedad;Defensas
hectorbellerin;Hector Bellerin;Real Betis;Defensas
hectorfort;Hector Fort;FC Barcelona;Defensas
zubeldia;Igor Zubeldia;Real Sociedad;Defensas
ikerbachiller;Iker Bachiller;CD Leganes;Defensas
ikercordoba;Iker Cordoba;Valencia CF;Defensas
iliaskostis;Ilias Kostis;Atletico de Madrid;Defensas
ismaelbekhoucha;Ismael Bekhoucha;Getafe CF;Defensas
balliu;Ivan Balliu;Rayo Vallecano;Defensas
inakiruperez;Inaki Ruperez;Real Sociedad;Defensas
imartinez;Inigo Martinez;FC Barcelona;Defensas
jacksonporozo;Jackson Porozo;Sin equipo;Defensas
jacoboramon;Jacobo Ramon;Real Madrid;Defensas
javigalan;Javi Galan;Atletico de Madrid;Defensas
javihdez;Javi Hernandez;CD Leganes;Defensas
javilopez4;Javi Lopez;Real Sociedad;Defensas
javierrodriguez1;Javi Rodriguez;RC Celta;Defensas
javisanchez1;Javi Sanchez de Felipe;Real Valladolid CF;Defensas
manquillo;Javier Manquillo;RC Celta;Defensas
areso;Jesus Areso;CA Osasuna;Defensas
jnavas;Jesus Navas;Sin equipo;Defensas
vallejo;Jesus Vallejo;Real Madrid;Defensas
jvazquez1;Jesus Vazquez;Valencia CF;Defensas
jmojica;Johan Mojica;RCD Mallorca;Defensas
jonaramburu;Jon Aramburu;Real Sociedad;Defensas
jonbalda;Jon Balda;Real Sociedad;Defensas
jonmartin;Jon Martin;Real Sociedad;Defensas
pacheco3;Jon Pacheco;Real Sociedad;Defensas
herrando;Jorge Herrando;CA Osasuna;Defensas
jorgesaenz;Jorge Saenz;CD Leganes;Defensas
aidoojr;Joseph Aidoo;Real Valladolid CF;Defensas
gaya;Jose Gaya;Valencia CF;Defensas
jmgimenez;Jose Gimenez;Atletico de Madrid;Defensas
joseangelcarmona;Jose Angel Carmona;Sevilla FC;Defensas
joseangellopez;Jose Angel Lopez;Sin equipo;Defensas
joaourbaez;Joao Urbaez;CD Leganes;Defensas
juanbernat;Juan Bernat;Getafe CF;Defensas
jberrocal;Juan Berrocal;Getafe CF;Defensas
juancruz1;Juan Cruz Alvaro Armada;CA Osasuna;Defensas
foyth;Juan Foyth;Villarreal CF;Defensas
juanherzog;Juan Herzog;UD Las Palmas;Defensas
iglesias;Juan Iglesias;Getafe CF;Defensas
juanperl;Juan Pedro Ramirez Lopez;Girona FC;Defensas
kounde;Jules Kounde;FC Barcelona;Defensas
jumabah;Abdulai Juma Bah;Lens;Defensas
kikesalas;Kike Salas;Sevilla FC;Defensas
kikofemenia;Kiko Femenia;Villarreal CF;Defensas
koke5;Jorge Iglesias Gonzalez;Real Valladolid CF;Defensas
ladislavkrejciii;Ladislav Krejci;Girona FC;Defensas
gonzaloaguilar;Lalo Aguilar;Albacete BP;Defensas
cabrera;Leandro Cabrera;RCD Espanyol de Barcelona;Defensas
logancosta;Logan Evans Costa;Villarreal CF;Defensas
lorenzoaguadoherrera;Lorenzo Aguado Herrera;Real Madrid;Defensas
loicbade;Loic Bade;Sevilla FC;Defensas
lucalohr;Luca Lohr;Getafe CF;Defensas
lucasalcazarmoreno;Lucas Alcazar;Real Betis;Defensas
lucasrosa;Lucas Oliveira Rosa;Sin equipo;Defensas
lucasv;Lucas Vazquez;Real Madrid;Defensas
lperez;Luis Perez;Real Valladolid CF;Defensas
lukenbeitia;Luken Beitia;Real Sociedad;Defensas
msanchez;Manu Sanchez;Deportivo Alaves;Defensas
