ID;Jugador;Equipo;Posicion
cesar-azpilicueta;Cesar Azpilicueta;Atletico de Madrid;Defensas
cesar-tarrega;Cesar Tarrega;Valencia CF;Defensas
daley-blind;Daley Blind;Girona FC;Defensas
daley-sinkgraven;Daley Sinkgraven;UD Las Palmas;Defensas
carvajal;Dani Carvajal;Real Madrid;Defensas
vivian;Dani Vivian;Athletic Club;Defensas
david-lopez;David Lopez;Girona FC;Defensas
david-torres-1;David Torres;Real Valladolid CF;Defensas
llorente-r;Diego Llorente;Real Betis;Defensas
rico;Diego Rico;Getafe CF;Defensas
foulquier;Dimitri Foulquier;Valencia CF;Defensas
djene;Djene Dakonam;Getafe CF;Defensas
domingos-d;Domingos de Sousa Coutinho Meneses Duarte;Getafe CF;Defensas
eneko-ortiz;Eneko Ortiz;Deportivo Alaves;Defensas
franquesa;Enric Franquesa;CD Leganes;Defensas
boyomo;Enzo Boyomo;CA Osasuna;Defensas
eray-ervin-cumart;Eray Comert;Real Valladolid CF;Defensas
eric-bailly;Eric Bailly;Villarreal CF;Defensas
eric-garcia;Eric Garcia;FC Barcelona;Defensas
f-mendy;Ferland Mendy;Real Madrid;Defensas
calero;Fernando Calero;RCD Espanyol de Barcelona;Defensas
lejeune;Florian Lejeune;Rayo Vallecano;Defensas
fran-garcia-1;Fran Garcia;Real Madrid;Defensas
gerard-2;Gerard Martin;FC Barcelona;Defensas
gonzalo-montiel;Gonzalo Montiel;Sevilla FC;Defensas
gorka-rivera;Gorka Rivera;Getafe CF;Defensas
hamari-traore;Hamari Traore;Real Sociedad;Defensas
hugo-g;Hugo Guillamon;Valencia CF;Defensas
hector-bellerin;Hector Bellerin;Real Betis;Defensas
hector-fort;Hector Fort;FC Barcelona;Defensas
zubeldia;Igor Zubeldia;Real Sociedad;Defensas
iker-cordoba;Iker Cordoba;Valencia CF;Defensas
ilias-kostis;Ilias Kostis;Atletico de Madrid;Defensas
balliu;Ivan Balliu;Rayo Vallecano;Defensas
i-martinez;Inigo Martinez;FC Barcelona;Defensas
jackson-porozo;Jackson Porozo;CD Leganes;Defensas
jacobo-ramon;Jacobo Ramon;Real Madrid;Defensas
javi-galan;Javi Galan;Atletico de Madrid;Defensas
javi-hdez;Javi Hernandez;CD Leganes;Defensas
javi-lopez-4;Javi Lopez;Real Sociedad;Defensas
javi-sanchez-1;Javi Sanchez de Felipe;Real Valladolid CF;Defensas
manquillo;Javier Manquillo;RC Celta;Defensas
javier-rodriguez-1;Javier Rodriguez;RC Celta;Defensas
areso;Jesus Areso;CA Osasuna;Defensas
j-navas;Jesus Navas;Sevilla FC;Defensas
vallejo;Jesus Vallejo;Real Madrid;Defensas
j-vazquez-1;Jesus Vazquez;Valencia CF;Defensas
j-mojica;Johan Mojica;RCD Mallorca;Defensas
jon-aramburu;Jon Aramburu;Real Sociedad;Defensas
jon-martin;Jon Martin;Real Sociedad;Defensas
pacheco-3;Jon Pacheco;Real Sociedad;Defensas
herrando;Jorge Herrando;CA Osasuna;Defensas
jorge-saenz;Jorge Saenz;CD Leganes;Defensas
aidoo-jr;Joseph Aidoo;RC Celta;Defensas
j-m-gimenez;Jose Gimenez;Atletico de Madrid;Defensas
jose-angel-carmona;Jose Angel Carmona;Sevilla FC;Defensas
joao-urbaez;Joao Urbaez;CD Leganes;Defensas
juan-bernat;Juan Bernat;Sin equipo;Defensas
j-berrocal;Juan Berrocal;Getafe CF;Defensas
juan-cruz-1;Juan Cruz Alvaro Armada;CA Osasuna;Defensas
juan-herzog;Juan Herzog;UD Las Palmas;Defensas
iglesias;Juan Iglesias;Getafe CF;Defensas
juanpe-rl;Juan Pedro Ramirez Lopez;Girona FC;Defensas
kounde;Jules Kounde;FC Barcelona;Defensas
kike-salas;Kike Salas;Sevilla FC;Defensas
kiko-femenia;Kiko Femenia;Villarreal CF;Defensas
koke-5;Jorge Iglesias Gonzalez;Real Valladolid CF;Defensas
ladislav-krejci-ii;Ladislav Krejci;Girona FC;Defensas
gonzalo-aguilar;Lalo Aguilar;Albacete BP;Defensas
cabrera;Leandro Cabrera;RCD Espanyol de Barcelona;Defensas
logan-costa;Logan Evans Costa;Villarreal CF;Defensas
loic-bade;Loic Bade;Sevilla FC;Defensas
lucas-alcazar-moreno;Lucas Alcazar;Real Betis;Defensas
lucas-rosa;Lucas Oliveira Rosa;Real Valladolid CF;Defensas
l-perez;Luis Perez;Real Valladolid CF;Defensas
m-sanchez;Manu Sanchez;Deportivo Alaves;Defensas
marash-kumbulla;Marash Kumbulla;RCD Espanyol de Barcelona;Defensas
bartra;Marc Bartra;Real Betis;Defensas
