ID;Jugador;CL;ENT;DUE;D;DA;PC;PCC;PLC;PH;GPT;GPTFA;GPTDA;GCPI;GCPD;CG;GABP
rodri-3;Rodrigo Sánchez Rodríguez;3;2;17;15;2;59;49;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
rodrigo-abajas;Rodrigo Abajas;0;3;9;8;1;20;11;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
de-paul;Rodrigo De Paul;10;17;114;106;8;1085;845;64;20;0.38;0.25;0.13;0.00;0.38;0.00;0.00
riquelme;Rodrigo Riquelme;8;8;50;43;7;179;156;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
rodrygo;Rodrygo Silva de Goes;49;10;139;123;16;796;723;7;1;0.19;0.03;0.16;0.03;0.16;0.00;0.00
romain-perraud;Romain Perraud;0;27;150;131;19;635;503;13;0;0.13;0.13;0.00;0.00;0.13;0.00;0.00
r-araujo;Ronald Araujo;0;1;23;5;18;196;172;9;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ruben-garcia;Rubén García;38;37;176;128;48;674;489;44;0;0.25;0.13;0.13;0.13;0.13;0.00;0.13
ruben-gomez-peris;Rubén Gómez;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ruben-iranzo;Rubén Iranzo;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
r-pena;Rubén Peña;4;8;89;71;18;175;113;4;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ruben-vargas;Rubén Vargas;10;5;54;46;8;153;116;5;0;0.13;0.00;0.13;0.00;0.13;0.00;0.00
rui-silva;Rui Tiago Dantas da Silva;0;0;6;4;2;452;285;57;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sanchez-1;Salvi Sánchez;0;0;0;0;0;0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
samuel-lino;Samuel Dias Lino;2;20;127;112;15;532;406;30;1;0.14;0.05;0.09;0.05;0.09;0.00;0.00
samu-3;Samuel de Almeida Costa;0;55;256;184;72;927;704;54;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00
sandro;Sandro Ramírez;40;19;137;121;16;351;244;11;1;0.25;0.07;0.18;0.07;0.18;0.00;0.07
santi-c-v;Santi Comesaña;0;47;212;163;49;914;762;35;4;0.21;0.00;0.21;0.14;0.00;0.07;0.00
santiago-mourino;Santiago Mouriño;0;17;86;61;25;327;241;18;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
saul-1;Saúl Ñíguez;1;30;137;100;37;405;315;14;2;0.04;0.00;0.04;0.00;0.04;0.00;0.00
scott-mckenna;Scott McKenna;0;14;114;34;80;986;824;29;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00
